"audit_date","category","workflow_step","route_or_file","api_process","provider","api_or_sdk_call","model_name","required_or_optional","trigger_condition","estimated_input_tokens_or_units","estimated_output_tokens_or_units","unit_price_basis_usd","approx_usd_per_call","storage_db_payment_cost","source_files","pricing_source_url","assumptions_and_notes","paid_models_optimizable_by_comfy","comfy_tier_1_best_models","comfy_tier_2_second_options","comfy_tier_3_last_options"
"6/26/26","Script intake","Extract PDF script file","/api/extract-script-file","Send PDF inline file data to Gemini for extraction","Google Gemini API","ai.models.generateContent({ fileData/inlineData parts })","GOOGLE_SCRIPT_FILE_MODEL or gemini-2.5-flash","Optional if PDF upload","Planning estimate ~20,000 input tokens for short PDF; can be much higher by length","~1,500 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.010 for short PDF; scales with PDF pages/tokens","None beyond wrapper persistence","src/app/api/extract-script-file/route.js","https://ai.google.dev/gemini-api/docs/pricing","Use actual Gemini usage metadata in production for PDFs because tokenization depends heavily on page count, layout, and embedded text.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
"6/26/26","Script generation","Generate script from lyrics/brief","/api/generate-script","Create scene/script JSON from analysis, prompt, and mood","Google Gemini API","geminiAgent.generateScript -> generateContent(parts)","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Optional direct route","~8,000 text input tokens","~6,000 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.017","No storage unless caller persists separately","src/app/api/generate-script/route.js; src/utils/geminiAgents.js","https://ai.google.dev/gemini-api/docs/pricing","Direct route; studio wrapper below persists to project state.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
"6/26/26","Script generation","Studio generate script and persist","/api/studio/generate-script","Generate script then save to Prisma project state","Google Gemini API plus Prisma","geminiAgent.generateScript -> generateContent(parts); prisma.project.update","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Required when user clicks generate script in studio","~8,000 text input tokens","~6,000 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.017","Prisma project update only","src/app/api/studio/generate-script/route.js; src/utils/geminiAgents.js","https://ai.google.dev/gemini-api/docs/pricing","Same model cost as direct script route, with database persistence.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
"6/26/26","Shot planning","Generate shot list","/api/generate-shot-list","Turn script/analysis into structured shot plan JSON","Google Gemini API","geminiAgent.generateShotList -> generateContent(parts)","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Required for AI shot planning","~28,000 text input tokens for full script/context","~18,000 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.053","No storage unless save route called","src/app/api/generate-shot-list/route.js; src/utils/geminiAgents.js; src/utils/shotList.js; src/lib/shotPlanClient.js","https://ai.google.dev/gemini-api/docs/pricing","Large JSON output dominates cost. Very long scripts can exceed this estimate.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
"6/26/26","Shot planning","Save script analysis","/api/studio/save-script-analysis","Persist user/AI script analysis","Postgres via Prisma","prisma.project.update","N/A","Required after analysis edits","0","0","No AI token pricing","$0.00 ","Database hosting only","src/app/api/studio/save-script-analysis/route.js","N/A","No provider call.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Shot planning","Save shot plan","/api/studio/save-shot-plan","Persist shot plan JSON","Postgres via Prisma","prisma.project.update","N/A","Required after shot plan generation/edit","0","0","No AI token pricing","$0.00 ","Database hosting only","src/app/api/studio/save-shot-plan/route.js; src/lib/shotPlanClient.js","N/A","No provider call.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Shot planning","Save shot timing","/api/studio/save-shot-timing","Persist timing edits","Postgres via Prisma","prisma.project.update","N/A","Optional editor timing save","0","0","No AI token pricing","$0.00 ","Database hosting only","src/app/api/studio/save-shot-timing/route.js; src/hooks/useShotTimingPersistence.js","N/A","No provider call.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Knowledge base","Save character references","/api/studio/save-character","Upload character/wardrobe reference images and persist entity","Local filesystem storage helper plus Prisma","storage.from('assets').upload/remove; prisma.project.update","N/A","Required for manual character asset upload","0","0","No AI token pricing","$0.00 ","Local disk plus database hosting","src/app/api/studio/save-character/route.js; src/utils/storage.js","N/A","Max 25MB/image; current helper stores locally under public/uploads/assets.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Knowledge base","Save location references","/api/studio/save-location","Upload location reference/angle images and persist entity","Local filesystem storage helper plus Prisma","storage.from('assets').upload/remove; prisma.project.update","N/A","Required for manual location asset upload","0","0","No AI token pricing","$0.00 ","Local disk plus database hosting","src/app/api/studio/save-location/route.js; src/utils/storage.js","N/A","Max 25MB/image; current helper stores locally under public/uploads/assets.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Knowledge base","Save wardrobe references","/api/studio/save-wardrobe","Upload wardrobe images and persist outfit/entity","Local filesystem storage helper plus Prisma","storage.from('assets').upload/remove; prisma.project.update","N/A","Required for manual wardrobe upload","0","0","No AI token pricing","$0.00 ","Local disk plus database hosting","src/app/api/studio/save-wardrobe/route.js; src/utils/storage.js","N/A","Max 25MB/image; no AI generation.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Knowledge base","Canonicalize/generate character knowledge","/api/studio/generate-character","Summarize character into project knowledge base using text and optional reference images","Google Gemini API plus Prisma","ai.models.generateContent({ model, contents })","GOOGLE_KB_MODEL or gemini-2.5-flash","Optional but normal for AI character consistency","~12,000 input tokens including up to 6 refs and 3 wardrobe images as image tokens","~3,000 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.010-$0.015","Prisma project update; placeholder 20 studio_credits deducted in app state only","src/app/api/studio/generate-character/route.js; .env.example","https://ai.google.dev/gemini-api/docs/pricing","Image token estimate varies by image dimensions; route fetches references from URLs/local uploads.","","Gemini multimodal vision/text calls can be reduced or replaced with ComfyUI VLM plus local LLM workflows","Qwen3.5-9B, Qwen3-VL-32B-Instruct, Qwen2.5-VL-72B-Instruct","Qwen3.5-4B, Qwen2.5-VL-32B-Instruct, InternVL3-38B","Florence-2-large, LLaVA-OneVision-Qwen2-7B, Moondream2"
"6/26/26","Knowledge base","Canonicalize/generate location knowledge","/api/studio/generate-location","Summarize location into project knowledge base using text and optional reference/angle images","Google Gemini API plus Prisma","ai.models.generateContent({ model, contents })","GOOGLE_KB_MODEL or gemini-2.5-flash","Optional but normal for AI location consistency","~14,000 input tokens including up to 4 refs and 6 angle images","~3,500 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.013-$0.018","Prisma project update; placeholder 20 studio_credits deducted in app state only","src/app/api/studio/generate-location/route.js; .env.example","https://ai.google.dev/gemini-api/docs/pricing","Image token estimate varies by image dimensions; route fetches references from URLs/local uploads.","","Gemini multimodal vision/text calls can be reduced or replaced with ComfyUI VLM plus local LLM workflows","Qwen3.5-9B, Qwen3-VL-32B-Instruct, Qwen2.5-VL-72B-Instruct","Qwen3.5-4B, Qwen2.5-VL-32B-Instruct, InternVL3-38B","Florence-2-large, LLaVA-OneVision-Qwen2-7B, Moondream2"
"6/26/26","Knowledge base","Studio KB wrapper","/api/studio/build-knowledge-base","Load project, call master KB builder, persist response to project state","Internal Next.js API plus Prisma","fetch('/api/build-knowledge-base'); prisma.project.update","N/A wrapper; builder model row below","Optional/normal before shot generation","0 directly","0 directly","No model cost in wrapper","$0.000 + builder row","Database hosting only","src/app/api/studio/build-knowledge-base/route.js; src/lib/backendClient.js","N/A","Wrapper exists to save the builder output in the studio project state.","","See downstream route rows","See downstream route rows","See downstream route rows","See downstream route rows"
"6/26/26","Knowledge base","Build master knowledge base","/api/build-knowledge-base","Generate consolidated character/location/wardrobe/style bible context from project data and refs","Google Gemini API plus Supabase admin table update","ai.models.generateContent({ model, contents }); supabase.from('projects').select/update","GOOGLE_KB_MODEL or gemini-2.5-flash","Optional but important before strict visual generation","~30,000 input tokens including refs; capped by route selection rules","~10,000 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.034-$0.050","Supabase table update if configured","src/app/api/build-knowledge-base/route.js; src/app/api/studio/build-knowledge-base/route.js; src/utils/supabase-admin.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","Route has a 10-minute cooldown unless force is true. It fetches up to 3 images/character, 2/location, and 2/outfit.","","Gemini multimodal vision/text calls can be reduced or replaced with ComfyUI VLM plus local LLM workflows","Qwen3.5-9B, Qwen3-VL-32B-Instruct, Qwen2.5-VL-72B-Instruct","Qwen3.5-4B, Qwen2.5-VL-32B-Instruct, InternVL3-38B","Florence-2-large, LLaVA-OneVision-Qwen2-7B, Moondream2"
"6/26/26","Knowledge base","Process wardrobe brain dump","/api/process-wardrobe-brain-dump","Convert wardrobe notes and optional images into structured wardrobe data","Google Gemini API plus Supabase admin update","ai.models.generateContent({ model, contents }); supabase.from('projects').update","GOOGLE_BRAIN_DUMP_MODEL or gemini-2.5-flash","Optional","~18,000 input tokens including up to 3 images per asset","~5,000 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.018-$0.030","Supabase table update if configured","src/app/api/process-wardrobe-brain-dump/route.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","If rebuildKnowledgeBase is true, add the separate master KB builder cost.","","Gemini multimodal vision/text calls can be reduced or replaced with ComfyUI VLM plus local LLM workflows","Qwen3.5-9B, Qwen3-VL-32B-Instruct, Qwen2.5-VL-72B-Instruct","Qwen3.5-4B, Qwen2.5-VL-32B-Instruct, InternVL3-38B","Florence-2-large, LLaVA-OneVision-Qwen2-7B, Moondream2"
"6/26/26","Knowledge base","Optional KB rebuild after brain dump","/api/process-wardrobe-brain-dump -> /api/build-knowledge-base","Second internal call after wardrobe extraction","Google Gemini API plus Supabase admin update","fetch('/api/build-knowledge-base')","GOOGLE_KB_MODEL or gemini-2.5-flash","Optional","~30,000 input tokens","~10,000 output tokens","Same as master KB builder","Add ~$0.034-$0.050","Supabase table update if configured","src/app/api/process-wardrobe-brain-dump/route.js; src/app/api/build-knowledge-base/route.js","https://ai.google.dev/gemini-api/docs/pricing","This is easy to miss because it is an optional chained route call inside the brain-dump route.","","Gemini multimodal vision/text calls can be reduced or replaced with ComfyUI VLM plus local LLM workflows","Qwen3.5-9B, Qwen3-VL-32B-Instruct, Qwen2.5-VL-72B-Instruct","Qwen3.5-4B, Qwen2.5-VL-32B-Instruct, InternVL3-38B","Florence-2-large, LLaVA-OneVision-Qwen2-7B, Moondream2"
"6/26/26","Knowledge base","Generate style bible","/api/generate-style-bible","Create visual style bible from reference images and project metadata","Google Gemini API plus Supabase admin update","ai.models.generateContent({ model, contents })","GOOGLE_STYLE_BIBLE_MODEL or gemini-2.5-flash","Optional","~16,000 input tokens including required refs","~4,000 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.015-$0.025","Supabase table update if configured","src/app/api/generate-style-bible/route.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","Requires at least one reference image; fetches up to 3 images/character and 2/location.","","Gemini multimodal vision/text calls can be reduced or replaced with ComfyUI VLM plus local LLM workflows","Qwen3.5-9B, Qwen3-VL-32B-Instruct, Qwen2.5-VL-72B-Instruct","Qwen3.5-4B, Qwen2.5-VL-32B-Instruct, InternVL3-38B","Florence-2-large, LLaVA-OneVision-Qwen2-7B, Moondream2"
"6/26/26","Prompt tooling","Rewrite shot prompt for image","/api/rewrite-shot-prompt","Rewrite/enrich a shot prompt for image generation","Google Gemini API","GoogleGenerativeAI.getGenerativeModel(...).generateContent(parts)","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Optional","~5,000 text input tokens","~1,000 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.004","None","src/app/api/rewrite-shot-prompt/route.js","https://ai.google.dev/gemini-api/docs/pricing","Mode affects wording only; cost is text-only.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
"6/26/26","Prompt tooling","Rewrite shot prompt for video","/api/rewrite-shot-prompt","Rewrite/enrich a shot prompt for video generation","Google Gemini API","GoogleGenerativeAI.getGenerativeModel(...).generateContent(parts)","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Optional","~5,000 text input tokens","~1,000 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.004","None","src/app/api/rewrite-shot-prompt/route.js","https://ai.google.dev/gemini-api/docs/pricing","Listed separately because image and video prompt rewrites can be invoked as separate optional processes.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
"6/26/26","Reference sheet splitting","Split character sheet with Python sidecar","/api/split-character-sheet","Call sidecar crop/split service","Python service","fetch(PYTHON_SERVICE_URL + '/split')","N/A","Optional primary path","0","0","No token pricing in repo","$0.000 from repo perspective","Python service hosting/compute if deployed","src/app/api/split-character-sheet/route.js; .env.example","N/A","If sidecar is unavailable, route falls back to a Gemini image-understanding call below.","","Gemini sheet validation/fallback can be replaced with ComfyUI VLM, segmentation, and crop workflows","Qwen3.5-9B, Florence-2-large, SAM2, GroundingDINO","Qwen3.5-4B, Segment-Anything-HQ, YOLOv8-seg","LLaVA-OneVision-Qwen2-7B, CLIPSeg, manual crop workflow with OpenPose/DWPose"
"6/26/26","Reference sheet splitting","Split character sheet Gemini fallback","/api/split-character-sheet","Ask Gemini to identify/crop character sheet regions from one image","Google Gemini API","GoogleGenerativeAI.getGenerativeModel(...).generateContent([...image inlineData...])","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Optional fallback","~1,500 multimodal input tokens for one image plus prompt","~700 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.002","None","src/app/api/split-character-sheet/route.js","https://ai.google.dev/gemini-api/docs/pricing","Only charged when Python /split fails or is unavailable.","","Gemini sheet validation/fallback can be replaced with ComfyUI VLM, segmentation, and crop workflows","Qwen3.5-9B, Florence-2-large, SAM2, GroundingDINO","Qwen3.5-4B, Segment-Anything-HQ, YOLOv8-seg","LLaVA-OneVision-Qwen2-7B, CLIPSeg, manual crop workflow with OpenPose/DWPose"
"6/26/26","Reference sheet splitting","Validate location sheet","/api/split-location-sheet","Gemini validation/understanding before attempting split","Google Gemini API","GoogleGenerativeAI.getGenerativeModel(...).generateContent([...image inlineData...])","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Required within split-location route","~1,500 multimodal input tokens for one image plus prompt","~700 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.002","None","src/app/api/split-location-sheet/route.js","https://ai.google.dev/gemini-api/docs/pricing","Unlike character split, location split always performs this Gemini validation first.","","Gemini sheet validation/fallback can be replaced with ComfyUI VLM, segmentation, and crop workflows","Qwen3.5-9B, Florence-2-large, SAM2, GroundingDINO","Qwen3.5-4B, Segment-Anything-HQ, YOLOv8-seg","LLaVA-OneVision-Qwen2-7B, CLIPSeg, manual crop workflow with OpenPose/DWPose"
"6/26/26","Reference sheet splitting","Split location sheet with Python sidecar","/api/split-location-sheet","Call sidecar crop/split service after validation","Python service","fetch(PYTHON_SERVICE_URL + '/split')","N/A","Optional primary crop path","0","0","No token pricing in repo","$0.000 from repo perspective","Python service hosting/compute if deployed","src/app/api/split-location-sheet/route.js; .env.example","N/A","Add validation row cost because that call always happens first.","","Gemini sheet validation/fallback can be replaced with ComfyUI VLM, segmentation, and crop workflows","Qwen3.5-9B, Florence-2-large, SAM2, GroundingDINO","Qwen3.5-4B, Segment-Anything-HQ, YOLOv8-seg","LLaVA-OneVision-Qwen2-7B, CLIPSeg, manual crop workflow with OpenPose/DWPose"
"6/26/26","Reference sheet splitting","Split location sheet Gemini fallback","/api/split-location-sheet","Gemini fallback split after sidecar failure","Google Gemini API","GoogleGenerativeAI.getGenerativeModel(...).generateContent([...image inlineData...])","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Optional fallback","~1,500 multimodal input tokens for one image plus prompt","~700 text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.002 additional","None","src/app/api/split-location-sheet/route.js","https://ai.google.dev/gemini-api/docs/pricing","Worst case split-location cost is validation plus fallback, roughly ~$0.004 before Python hosting.","","Gemini sheet validation/fallback can be replaced with ComfyUI VLM, segmentation, and crop workflows","Qwen3.5-9B, Florence-2-large, SAM2, GroundingDINO","Qwen3.5-4B, Segment-Anything-HQ, YOLOv8-seg","LLaVA-OneVision-Qwen2-7B, CLIPSeg, manual crop workflow with OpenPose/DWPose"
"6/26/26","Image generation","Generate character anchor sheet","/api/generate-character-anchor","Generate a 21:9 character reference sheet from prompt and up to 3 refs; upload result","Google Gemini image generation plus Supabase admin storage/table","GoogleGenerativeAI.getGenerativeModel(...).generateContent({ responseModalities: ['IMAGE'] }); supabase.storage.from('assets').upload","GOOGLE_ANCHOR_MODEL or GOOGLE_IMAGE_MODEL or gemini-2.0-flash-preview-image-generation","Optional","~4,000-12,000 multimodal input tokens depending refs","1 generated image","Gemini 2.0 Flash image route default is shut down as of 2026-06-01; legacy image price was ~$0.039/image. If env uses Gemini 3 Pro Image, use $2/M input + $0.134/image.","Legacy default unavailable; migrated estimate ~$0.14-$0.16/image","Supabase Storage upload and public URL if configured","src/app/api/generate-character-anchor/route.js; src/utils/supabase-admin.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","Important migration risk: route default model is a shut-down Gemini 2.0 image SKU unless GOOGLE_ANCHOR_MODEL or GOOGLE_IMAGE_MODEL overrides it.","","Gemini image generation and Seedream image API can be reduced or replaced with ComfyUI image workflows","FLUX.2-Dev, Qwen-Image-2512, Qwen-Image-Edit-2511, FLUX.1-Krea-dev","Qwen-Image, Qwen-Image-Edit, FLUX.1-dev, FLUX.1-Kontext-dev, HiDream-I1-Full","FLUX.2-Klein, FLUX.1-schnell, Stable-Diffusion-3.5-Large, SDXL"
